feature,class
"-385.15118,98.43908,6.4307604,31.245314,-2.5304244,18.050734,-1.6505026,18.192904,-2.4209583,12.502718,-5.85664,13.569974,-0.36756644,12.183951,-2.6360788,10.441386,-2.2334678,10.36611,-1.5093446,6.3888297,-3.7816355,7.4754276,-0.5126908,6.828198,0.5480423,5.7609873,0.5131883,4.425021,1.3743904,4.7677746,0.45213184,2.7619483,0.5791489,3.0874553,1.7629939,2.7235692,1.0300769,0.7001211,1.6559538,1.5566286",Cargo
"-433.90604,122.62648,11.356095,31.50644,-2.7247343,17.331242,2.0356245,18.97902,-3.7181954,11.949043,-2.1506913,16.303751,1.0264983,8.478325,-4.3859105,8.049912,0.37632364,12.323741,2.496236,8.960296,2.2202337,9.44533,-0.9187819,5.193805,-3.167623,2.4032514,-1.7016411,5.077257,1.7936637,4.653248,0.04560169,2.7196622,-2.1783762,0.9633874,-0.87753075,0.7360507,-0.46883404,0.5717298,1.7080219,1.7768404",Cargo
"-382.88257,94.27009,4.6401367,29.643032,-2.95825,18.70949,1.8183653,22.68237,-6.001458,12.186126,-4.822169,14.5861025,-1.8302835,13.1895895,-7.604441,11.727023,-3.1514862,11.758322,-1.0545021,7.006041,-1.7349361,8.9792185,-0.08831739,7.8936434,1.0411019,4.893436,0.3791919,5.618134,1.3337291,5.6827555,-0.76368564,3.0773857,-0.62458915,3.8469136,1.1995332,4.1387405,0.06599189,2.9458609,1.8963685,3.2861047",Cargo
"-373.09875,82.9148,23.367744,22.356417,12.160612,17.141413,13.192731,15.425207,10.508657,9.613089,4.258846,8.206626,7.2543807,8.772286,5.8485518,7.2067943,4.8200583,6.4991307,5.1811852,5.0699716,3.1425033,4.3894086,4.2112193,4.996213,4.3266335,3.2487776,1.152982,0.48658904,1.4672171,2.62254,2.2278502,1.2246829,0.7603124,0.5777774,1.7343444,2.287247,3.3924768,3.4870226,4.746252,4.0238495",Cargo
"-497.4551,82.48987,8.545674,31.446548,0.62071955,25.251863,6.9257417,20.683947,1.830892,16.16657,-1.2418966,15.539036,2.6276252,14.281959,0.39309296,12.278268,0.6216694,10.868303,-0.55019724,6.8741016,-1.1871678,5.587368,-1.354765,3.8889523,-2.0114512,2.0625134,-1.0591062,2.159861,0.7035439,2.9245415,0.880703,1.8770969,0.9200607,1.9709507,2.2323258,1.6030333,2.1406066,1.4514532,2.904424,2.045459",Cargo
"-429.23572,110.74945,15.458154,39.24541,1.9738505,20.906961,3.590904,19.266886,-3.713551,8.677193,-5.788137,11.127098,-1.6372964,11.837704,-2.1386478,10.840379,-1.2882646,10.526709,-1.2069511,4.7433414,-2.4515388,5.0321064,-1.8181416,3.6682975,0.49769318,2.9618464,0.650771,1.5291682,0.4702328,1.7322115,0.055919424,0.7709471,-0.098932795,0.82248896,1.7894963,0.7225308,0.12345845,-0.3526829,2.3417149,1.6267622",Cargo
"-391.16376,92.03029,-30.9485,14.940652,-9.034624,7.053021,-4.8770866,18.482122,-3.4089203,11.480535,-7.998904,14.930573,-4.640206,9.153203,-5.4545856,6.299311,-8.803553,10.340232,-0.8422905,7.2381387,-3.7090645,9.251974,0.04712204,6.6602817,1.0717088,7.661042,0.36356384,5.44807,2.4270046,5.1541023,0.19087455,5.368768,1.5790994,2.9991786,2.3576376,5.2513275,6.242819,8.089811,9.408884,10.053519",Cargo
"-424.9826,102.566444,15.28356,31.4528,2.0707195,18.05907,-0.4380515,19.676954,-0.7886348,12.875084,-6.9221425,11.585882,-2.646339,8.478975,-5.1118774,7.1373215,-5.720777,8.067668,-1.4635595,6.7598433,-2.2973318,7.509791,-0.18839863,4.749991,-1.0763373,3.2291663,-1.5983937,1.1321404,-1.149205,1.1689032,-1.4432251,1.462096,-0.86383384,0.24231607,1.0463964,2.7621443,3.2969851,3.21592,4.4151807,4.286027",Cargo
"-471.51544,87.83547,5.053877,25.516485,-2.4961538,28.182951,1.7691624,18.420792,-4.3522463,12.844851,-0.46417505,16.438414,2.181517,14.513627,1.6322757,12.514459,1.1664366,11.995242,1.6773539,6.9664073,0.83236593,8.000414,1.302918,8.6930895,2.1209352,6.230718,1.1329461,3.6692824,2.686589,3.904907,1.159436,2.5493093,1.5403031,3.5705562,3.8604772,2.9721856,1.6517354,1.4787922,2.8236592,2.0116189",Cargo
"-406.71545,90.643005,14.616799,25.706274,7.9741254,21.478569,12.419643,17.99367,6.130287,12.358962,6.3011417,14.95993,7.1557236,9.577969,1.2022773,7.297813,2.542073,7.197464,2.9898612,4.408421,0.34859124,3.269551,0.74183017,2.831933,1.2878253,0.8224063,-0.77903444,-0.44518775,0.22266187,1.1030825,-0.33182827,-1.1378828,-1.0079458,0.5591979,1.3347311,0.13604623,-1.7112484,-2.0103004,0.0033407016,0.51568586",Cargo
"-432.81177,111.94568,6.219553,33.40812,10.555784,16.953732,8.341346,21.599104,8.790387,9.608855,2.5951178,14.30363,6.236406,11.69841,4.8001013,6.371059,0.706059,3.7833831,3.758661,4.453033,2.3810508,4.828627,2.9868355,4.448146,5.92133,4.027949,1.5034403,1.0081037,1.5512282,0.7713105,0.06073269,0.6347065,0.48593813,0.70066065,1.435392,0.84896994,-0.31912035,-2.1535687,0.45966592,-0.7728154",Cargo
"-403.91312,103.719574,-19.437386,12.073546,-2.310844,10.103411,-1.2634248,21.375834,-1.2901853,10.860283,-10.420249,12.787078,-4.167629,8.040531,-4.0707684,6.1022677,-8.465828,6.8679676,-4.282317,4.460416,-6.097821,5.5285416,-2.4163766,4.3875327,-0.8446715,5.38504,-0.5418961,3.8714573,1.2545749,4.133953,0.7530399,4.976789,1.5385513,2.5447836,2.830993,5.1987576,5.9920125,7.3834267,9.04087,8.048216",Cargo
"-378.46155,88.12289,-24.981749,22.494976,-11.13256,8.553442,-7.3242507,15.525601,-0.9335769,11.896526,-11.288072,16.538082,-5.546656,8.66896,-6.97169,6.8643193,-10.711345,8.772708,-0.49273077,10.491502,-1.864805,9.999176,-0.436426,8.106617,1.7972096,10.908475,0.94635653,3.801187,-0.49473932,4.3550224,-1.2005603,4.666392,0.819942,1.8940043,0.56129825,3.4039788,1.6237297,1.7193872,1.7795018,7.5446",Cargo
"-430.23572,115.29015,9.925687,33.857952,-0.254805,23.292557,5.844986,21.623419,-8.200853,10.912899,-2.023974,13.979699,4.228345,15.264912,-0.43223393,10.932019,-1.5986086,10.981949,-0.05270962,7.4794893,-1.5020638,6.6246486,-2.5675347,4.786921,-2.9586337,3.530852,0.86774224,3.6245944,0.02869514,3.0438464,-0.2517215,2.2942536,-0.6491437,2.2383244,0.9251696,1.9803318,-0.64291584,0.52281755,1.2244562,2.0343242",Cargo
"-444.07993,104.987915,7.5724454,28.16908,8.379657,19.402815,8.596921,21.25169,9.505525,13.288446,0.81500155,13.107181,6.7108917,9.737485,2.3648243,7.204291,0.41078323,7.530642,3.5319104,5.2546864,-0.29399097,3.5487964,2.7432911,4.062588,3.4880533,2.99658,2.462431,1.3283453,3.6675165,2.9222026,2.9507337,2.5453238,2.322717,0.20718974,1.8367623,1.6755327,2.6976726,1.105393,3.0058444,1.9941279",Cargo
"-375.09247,94.04876,-29.427673,16.02691,-10.560313,1.9817989,-9.444917,15.182091,-1.484664,11.136887,-12.975822,13.695331,-4.2167807,8.886915,-7.682068,4.5241985,-9.408192,7.2063828,-1.6260539,7.796682,-5.2471004,8.020254,-0.612197,6.1704836,0.92347354,8.747208,1.2404038,5.2835526,1.4676101,6.6007204,1.725562,4.862774,1.0292374,3.0261443,2.2869346,4.863939,6.1006346,8.445805,10.108409,9.982754",Cargo
"-408.17535,100.3855,-18.757116,21.881687,-6.0965104,10.26034,-3.3953679,17.806389,-6.9467497,9.026153,-9.446359,14.821261,-3.9480417,10.753208,-5.671705,6.2649302,-8.144703,7.0905857,-2.5121243,7.094725,-5.12295,6.7784796,-3.2021255,5.2217317,0.30513975,7.64129,-1.1791139,3.4005926,-0.97246736,4.7355175,1.2535979,6.0274878,1.5439392,3.9891632,3.6156368,4.9068832,2.7101395,2.6009464,4.4834347,4.484835",Cargo
"-445.89685,113.6715,12.916263,33.02219,-1.4027035,20.177008,5.533758,18.417759,-5.670953,9.70969,-4.62105,10.741199,-3.3344755,6.3298745,-5.7085695,4.6036415,-3.19721,6.8753552,-1.4207155,3.6315386,-2.16166,5.1650453,-1.1475303,6.2998166,0.57513136,3.7406306,0.92734575,2.605913,1.2563119,2.6443436,0.9712692,1.4805356,-0.2137638,2.1789281,3.1622143,3.3097816,2.5208285,2.5234063,3.8871946,3.0332332",Cargo
"-407.96838,88.124146,-29.969593,11.123499,-12.311063,11.959556,-0.25636452,17.46036,-5.639724,7.7003365,-10.056067,11.534168,-7.0987306,9.572113,-4.1179895,4.7162704,-10.080557,6.6032577,-3.0180016,7.2443666,-2.2183564,8.016565,-0.5800588,7.089292,3.2043033,9.787415,2.8739858,5.614909,2.2810428,4.9348254,2.5741737,7.5263495,4.246218,5.7526875,5.6718254,6.401712,5.385802,5.088029,5.990214,5.9340677",Cargo
"-374.48398,89.91042,-22.200472,15.751241,-7.2125926,5.4103236,-6.562219,17.99737,-3.3042986,11.867586,-12.6440525,15.755757,-3.7046301,7.5861726,-6.659718,7.2081656,-10.465065,9.253574,-1.2168726,8.902021,-3.7004576,8.520253,-0.9280102,7.774507,1.1462224,9.9137945,0.15582652,5.1496425,1.1432238,6.042931,0.99818146,6.102574,0.5033488,3.3022516,1.3137214,6.435079,5.7887864,8.824544,8.561576,9.290745",Cargo
"-445.92917,96.64537,-9.018875,23.60477,-4.1159983,12.28889,-1.0494275,18.701366,-3.7177746,10.707493,-8.626629,13.166848,-2.572581,8.43348,-4.814441,7.2669864,-5.347574,8.184481,-0.57330763,6.5530143,-2.178281,7.627231,0.15367033,6.93491,1.8898379,6.877174,0.8518292,3.8750954,2.229328,4.9394946,2.40006,4.973304,2.0509665,3.104492,2.777458,4.9508743,4.775555,5.322282,6.298039,5.9072766",Cargo
"-359.10657,101.22286,-1.7284949,24.818487,-8.744744,12.805692,-3.1762877,19.106316,-8.372206,8.234967,-8.312863,12.857806,-2.904957,13.7219305,-4.5485196,10.655461,-2.2281017,9.802619,1.4792584,6.793703,-0.7294512,7.597094,0.70605874,6.290977,2.3217845,5.0516787,0.6320972,4.911249,1.7665937,5.5949845,0.58596504,3.3554516,-0.17861818,4.1935163,2.1006882,4.8230567,0.4502138,2.1618137,2.2607813,3.5798047",Cargo
"-424.94595,73.78074,11.348382,23.211786,6.923098,21.268812,5.8741784,21.46364,5.8458514,15.103392,2.208766,16.108274,7.043291,14.991055,3.1143258,11.692023,1.7764271,9.526965,3.4101565,8.455694,1.5091074,6.288787,1.8424784,7.075835,4.2738986,5.5946283,2.1848228,3.4917936,2.7844942,3.6473174,3.0589886,3.4234731,1.2828027,1.8413941,3.2780702,3.1837866,1.6484088,0.43248188,2.5578141,2.5184724",Cargo
"-358.35837,77.89964,22.111727,21.70647,12.354123,16.769709,11.976095,15.665608,9.315558,9.59066,4.353198,10.017023,7.7293143,10.157761,6.3170004,8.142871,4.1924124,7.0993776,5.478107,5.238922,2.251087,3.8922918,2.6126275,3.6625187,3.7057638,3.7334962,1.6958401,0.77928317,1.7077147,2.7943404,2.2758913,1.7388146,1.4297563,1.8507192,2.7682025,2.5587585,2.065798,1.0400039,2.2270448,2.3671525",Cargo
"-397.23727,99.032166,-14.995482,17.920687,-4.6231117,8.494159,-6.622199,16.37415,-3.7997243,9.3178625,-13.958379,12.092371,-4.979378,6.4995604,-7.529944,6.0201693,-10.109791,6.7215824,-4.569055,5.9832735,-6.3938007,5.250581,-3.4261587,5.752704,-0.35320354,7.909312,0.02917374,4.636179,0.20080177,5.49681,0.8163841,5.604691,0.49150562,2.698757,1.9288802,6.1377363,5.988769,8.313045,8.484278,8.703363",Cargo
"-434.56656,106.071335,6.2849584,31.665257,0.8928256,15.623643,0.09594901,20.119081,-0.59239286,13.103816,-6.959677,14.900105,-2.6405578,9.454329,-4.14269,7.079431,-6.8859396,7.4881716,-2.5236876,6.390304,-3.5220127,7.0054774,-0.70334715,6.23224,-0.05321692,5.1092935,-1.9943784,1.9209629,-0.3232892,3.4179802,-0.27001098,2.4780653,-0.5175745,1.3095459,1.2903942,2.0369132,1.4213723,1.0860792,2.5433674,3.1055613",Cargo
"-348.73477,90.730316,-17.56338,22.24534,-8.894437,10.678369,-4.066069,16.084118,-4.903775,7.2486424,-12.242076,9.087902,-6.637054,7.9430547,-7.199424,4.7516446,-9.145378,4.3222227,-3.0308816,6.43084,-5.1131005,7.34189,-1.580803,6.774777,1.638367,7.019018,-0.90455437,3.2849288,-0.1899601,5.9465046,1.7760575,4.760613,0.24765939,2.1416626,1.8508544,6.350249,6.9604,8.533737,9.957901,9.285861",Cargo
"-357.36667,91.75717,1.9391203,31.609097,-5.633165,21.407043,2.8992908,19.604694,-5.740915,6.9480133,-6.412496,14.823192,-1.6664263,15.383103,-6.5219884,11.180725,-4.608242,9.589556,-1.4169436,5.772258,-3.167377,6.957572,-0.82928616,6.5921125,0.9744943,5.3075247,-0.47512177,4.542157,-0.0041221757,5.2983513,-0.1990257,2.520582,-1.2425989,2.7882826,1.6546451,4.140202,0.6980699,2.1218543,2.4160416,3.0406163",Cargo
"-450.55557,117.166534,5.1957483,29.268995,-4.1843176,18.851263,5.816251,19.435585,-2.9001834,9.472083,-2.9972656,13.081922,0.8884696,10.881603,-0.4874592,9.247831,-1.2506046,8.82793,1.0509933,4.8963256,-2.9502473,4.340335,-1.5732404,3.9840956,0.5108848,3.3547997,0.48097953,1.3758624,0.64274234,1.9533334,0.8517131,1.782401,0.95934975,1.352062,2.4863372,1.9094542,2.6691196,2.0124896,4.197444,2.2067258",Cargo
"-463.7822,108.63854,12.451777,27.137205,3.1082804,18.13505,5.6498194,15.123991,2.7311573,9.939289,-4.315969,11.598732,1.171147,7.5398803,-2.7894943,5.188905,-3.2123547,5.4516187,-0.16389427,3.5591443,-3.4964557,2.863347,0.24927126,3.5842988,2.1749005,5.0553045,2.0186265,2.747858,2.7161283,4.413348,1.9125047,3.0356653,1.7235116,1.2979532,2.579565,2.149708,2.452165,0.15199886,2.6098413,2.125888",Cargo
"-369.76566,98.47262,-20.580599,21.341114,-5.393383,9.180977,-8.07414,15.46429,-5.114417,10.565809,-13.231579,11.920595,-7.751215,5.884517,-9.1333,6.2088823,-10.2628975,8.370234,-3.5153406,7.394411,-5.3578105,7.522775,-2.6789815,5.4413714,-0.8573291,7.822608,-0.78086334,4.019643,-0.39994693,5.297777,-0.35824224,4.4401555,-0.5245563,1.6960781,1.1205425,5.331052,5.578115,8.029794,8.215552,8.575681",Cargo
"-381.44693,92.35078,6.9804754,29.310255,1.6223377,21.88096,-3.8074765,19.875725,-2.4937332,9.653936,-9.521729,13.330786,-1.8395181,10.15523,-4.595864,7.9011226,-5.327679,9.2843,-0.44563296,7.9758024,-3.2701917,9.211927,-0.2572042,6.160125,0.33299384,5.377555,-1.7886741,1.4584216,-0.55828327,2.2216635,-2.2850583,0.5963921,-2.2400124,-0.5892526,-0.047932953,1.9410119,0.885236,0.9217172,1.8439447,2.661029",Cargo
"-358.62778,88.2158,13.2487955,28.012177,-0.97520524,17.506699,-2.229385,19.700834,-2.0096822,10.557737,-10.141551,14.862409,-2.1420548,12.532821,-3.944727,10.428681,-4.989765,10.452541,-1.8793008,7.817346,-6.5483274,8.033884,-1.2953993,8.090397,0.6217768,6.7611475,-1.5325865,3.5197709,-0.3572835,4.782902,-0.059416886,4.006818,-0.8540472,2.4360712,0.7370021,4.4138594,1.1019181,0.86977035,0.94246066,2.5140493",Cargo
"-343.4363,97.65416,3.3638482,25.891691,0.2242749,13.521576,-4.672257,14.795575,-2.8985715,10.04043,-6.813814,13.430326,-2.1189172,10.878671,-2.714077,7.953896,-3.5473933,7.955658,-2.1595354,6.3602653,-2.54971,6.832326,-1.6807368,5.21346,0.25731096,6.1751204,0.45469484,4.4422135,1.6565659,5.863236,2.6565516,5.1463633,1.3209025,3.6062098,2.3033972,3.0884695,2.3419287,0.96427166,1.7084074,2.095162",Cargo
"-356.1991,95.3293,11.108596,22.875414,-8.169369,8.145055,-5.7562985,10.309648,-3.0078719,11.194013,4.7234473,21.377478,13.953015,18.982002,5.126791,9.687001,-3.5323856,3.3014822,-2.2346349,1.5881215,-4.8151665,1.6601359,0.17319867,6.49416,6.445408,8.893929,6.306803,4.7111673,3.000134,3.063146,0.44236407,-1.638471,-2.5574932,-1.2093033,1.0736191,2.893799,3.4116793,1.4667184,2.5789602,1.9690323",Cargo
"-472.57996,109.12156,10.832833,32.41066,2.168285,21.624985,3.928019,19.040808,-0.45576927,9.502503,-5.5472136,10.518815,-0.60059524,7.999675,-3.5547063,6.060711,-3.525042,6.9420624,-0.5933363,4.3392067,-3.623329,3.3209476,-1.1730624,4.8170357,1.8186693,5.1194134,2.0448346,3.7523227,3.8189392,6.144106,4.195917,4.123476,2.1012075,2.6345325,4.1469154,4.001243,4.0558176,2.164983,3.4958222,2.4071503",Cargo
"-382.29922,90.962494,-22.165031,16.582922,-9.6981325,4.7791085,-8.701351,18.134478,-2.5937033,12.841725,-11.193792,15.080673,-4.2979374,9.844266,-6.792205,6.286801,-9.529273,8.449163,-2.501461,8.252337,-4.7560425,7.752747,-1.7150095,7.510477,0.4675104,8.64723,-0.12459651,4.2358036,0.30075952,6.327334,1.5506268,6.366927,0.5123475,3.0301208,1.4191457,5.3468304,6.133674,8.335369,9.195512,9.227879",Cargo
"-419.25253,104.52965,-1.3656483,30.384676,-1.5401057,16.901731,1.3563206,19.46709,-0.70884997,13.312756,-5.1872277,13.282121,0.40557778,12.388779,-1.8923994,10.420062,-2.068308,9.204204,0.11702079,7.824008,-2.8647075,6.406192,-1.291318,6.0467787,0.20408809,5.5991645,-0.013557435,3.4651415,1.1620213,4.6088824,1.2106595,3.4426908,1.3151777,4.1652513,2.8703828,3.7890143,2.2103775,1.7218927,2.0341947,2.7391171",Cargo
"-393.55084,114.45055,2.931894,31.821993,-1.2454077,15.900883,0.104244344,20.215065,-4.6284904,8.698407,-6.63124,11.927154,-4.2150354,12.136902,-4.9192944,8.689482,-3.0472753,8.888231,-0.27414572,6.377573,-1.650227,7.458132,0.5256766,6.927263,3.83389,5.4457836,1.1421286,3.3749213,2.33584,4.287382,2.223801,3.1296022,1.5600375,2.4989066,2.4991834,3.2415652,1.7412978,0.87442344,2.8557541,2.1205492",Cargo
"-386.3976,112.28055,4.957961,33.77596,-6.51492,18.403261,-1.525476,18.362545,-11.135758,4.5331106,-8.144832,11.408748,-0.35535493,13.373771,-5.590268,9.917582,-3.3400915,10.7792635,-1.2847553,5.8438945,-3.8934739,6.8031206,-2.4447386,6.678512,-0.6874992,4.5216203,-0.40745738,3.9360485,0.2815651,5.2051854,-0.511682,2.7844887,-1.4251021,3.9212353,1.7377603,4.630976,0.4361235,2.9732332,2.3657467,3.7910721",Cargo
"-415.43777,91.75257,4.48725,26.922194,-4.5897074,17.159052,-0.78470963,20.64998,0.04510722,13.994898,-5.3725643,16.330488,1.1781708,15.415361,-1.9026958,11.700431,-3.1554964,9.370603,-0.44072717,10.20287,-2.572916,7.8417845,-1.6687909,5.9607377,-0.8968797,6.5582676,0.02792413,4.115016,0.14812994,4.6838045,0.11384234,3.4563923,0.6216585,3.3277547,2.3998985,3.7487435,1.3740735,1.0030508,1.3823576,2.8111217",Cargo
"-428.47992,103.97158,4.7222047,33.485207,1.3650796,18.39672,0.23936878,23.153942,-1.8704364,10.537318,-6.0906825,14.077233,-2.0189006,14.675223,-2.4943633,9.599551,-2.1017566,9.516995,0.7907494,6.7572966,-2.0461366,7.6201105,-0.21451849,6.932584,2.4913156,6.143504,-0.28879124,4.3528395,1.4085294,5.226116,1.4050994,3.3787386,-0.5613339,2.2347455,1.4431581,3.7278006,1.8839254,1.2877505,2.542788,2.475593",Cargo
"-418.5956,122.68171,-7.2980084,32.94369,-2.549679,14.265086,0.6807322,20.747139,-4.3209214,8.94096,-6.984347,10.556363,-3.543872,12.841977,-5.0025716,9.649961,-2.878501,10.626685,1.5766194,6.87232,0.06928582,6.891483,1.2219754,6.17002,4.261436,4.1625896,1.9720954,3.541806,2.688699,5.2325273,2.729071,3.4763138,1.8174057,3.422719,3.6609218,4.285121,2.015274,1.6670866,3.0831652,2.5612721",Cargo
"-470.3894,96.04341,1.6961741,32.472538,2.0890195,20.170218,1.8006233,19.643974,1.4793577,12.61896,-6.285287,13.4043455,-0.87423825,9.550593,-2.7570305,7.4081984,-5.558001,7.481053,-0.40097255,7.170099,-1.2288139,7.7237887,1.2636466,5.8800926,1.7945281,5.916514,0.1413234,1.5593225,0.37664047,2.8743322,0.18722244,1.6441673,0.15547355,0.5634063,1.5434593,1.6881671,2.0272508,0.6868337,2.7597888,2.4405034",Cargo
"-372.61426,101.52647,-17.700974,19.089853,-7.605841,14.445037,-2.9701977,16.864973,-2.263702,10.382402,-12.284879,11.388192,-5.2786326,8.013499,-5.9765615,5.470347,-12.264943,2.90596,-6.6254306,5.0256968,-7.7258625,3.7464838,-4.6205144,4.421227,-0.13651468,7.489646,-0.98476386,5.00417,1.4789196,7.252256,1.9310204,7.5317926,2.4642057,3.8643546,1.7779919,4.9094877,3.7968564,4.403524,4.944287,6.3295116",Cargo
"-372.92413,103.67632,16.281065,29.893328,2.793069,16.393843,5.072925,17.132963,1.9552354,8.596121,-2.589771,9.4801655,0.2557412,6.5990458,-2.873208,3.8715858,-2.7565458,3.84681,-0.26150787,2.8931549,-1.0233419,4.212863,1.7223624,4.3115253,1.8296671,2.2624693,0.1786756,-0.032876793,-0.060963374,1.1951158,-0.0111187855,-0.6409401,-1.4519501,-0.9114728,0.33598414,0.25293097,0.34306476,-0.49294165,1.9385735,1.870155",Cargo
"-461.37357,101.348206,10.648129,29.524487,5.1271377,21.19659,6.3212852,20.895304,4.699033,14.277982,-0.8451834,13.734863,4.268523,13.307769,0.3200336,7.9416757,-0.44694453,9.604663,1.1233356,5.009139,-1.4507322,5.4684224,1.4045796,5.0524635,1.9215555,3.719104,1.4842147,1.6567322,1.1655321,3.568234,3.0513542,2.1602736,0.81532705,1.9643877,3.5963838,2.8678522,3.2597477,1.234014,2.9048781,2.0200703",Cargo
"-468.4267,99.4871,13.109133,25.705688,4.9488554,19.543524,4.565779,19.307108,3.7621598,14.870214,0.8885701,13.617309,4.4154067,12.357873,1.0358912,8.153618,0.088128604,9.305742,3.0657294,6.386819,1.0375743,6.512992,3.189923,6.0892673,3.2283762,3.6925805,1.6137248,0.8825332,2.3974771,3.5826871,2.8465016,2.0742502,2.3673618,2.535701,4.3395863,3.530666,3.775154,2.1918476,3.9011729,2.072782",Cargo
